operation,label
47 + 78 = 121,subtraction_error
76 + 87 = 162,subtraction_error
46 + 45 = 91,correct
16 + 51 = 67,correct
72 + 5 = 76,subtraction_error
9 + 30 = 39,correct
92 + 93 = 177,subtraction_error
8 + 74 = 77,subtraction_error
79 + 57 = 136,correct
44 + 59 = 104,addition_error
37 + 46 = 84,addition_error
68 + 29 = 91,subtraction_error
67 + 68 = 133,subtraction_error
1 + 79 = 80,correct
58 + 54 = 112,correct
64 + 74 = 138,correct
86 + 81 = 167,correct
38 + 95 = 131,subtraction_error
68 + 11 = 79,correct
13 + 61 = 81,addition_error
21 + 32 = 48,subtraction_error
25 + 81 = 106,correct
93 + 20 = 113,correct
22 + 27 = 57,addition_error
49 + 20 = 69,correct
94 + 78 = 173,addition_error
84 + 4 = 88,correct
1 + 20 = 20,subtraction_error
44 + 68 = 112,correct
56 + 57 = 113,correct
50 + 10 = 60,correct
42 + 16 = 58,correct
42 + 28 = 65,subtraction_error
18 + 62 = 90,addition_error
91 + 48 = 133,subtraction_error
53 + 2 = 55,correct
42 + 28 = 70,correct
69 + 18 = 86,subtraction_error
28 + 84 = 107,subtraction_error
98 + 63 = 156,subtraction_error
50 + 54 = 104,correct
13 + 30 = 49,addition_error
46 + 79 = 118,subtraction_error
83 + 2 = 80,subtraction_error
66 + 89 = 155,correct
74 + 97 = 164,subtraction_error
43 + 14 = 56,subtraction_error
15 + 10 = 18,subtraction_error
8 + 60 = 68,correct
48 + 43 = 91,correct
80 + 63 = 143,correct
42 + 9 = 51,correct
83 + 2 = 95,addition_error
3 + 64 = 64,subtraction_error
59 + 52 = 111,correct
60 + 54 = 114,correct
81 + 19 = 100,correct
70 + 45 = 111,subtraction_error
79 + 29 = 108,correct
79 + 64 = 143,correct
98 + 47 = 149,addition_error
17 + 85 = 106,addition_error
67 + 4 = 78,addition_error
42 + 69 = 117,addition_error
3 + 78 = 77,subtraction_error
27 + 89 = 107,subtraction_error
67 + 10 = 84,addition_error
73 + 58 = 135,addition_error
67 + 94 = 153,subtraction_error
54 + 50 = 98,subtraction_error
23 + 4 = 31,addition_error
11 + 20 = 31,correct
16 + 34 = 46,subtraction_error
86 + 66 = 145,subtraction_error
29 + 83 = 111,subtraction_error
50 + 29 = 87,addition_error
56 + 21 = 74,subtraction_error
57 + 22 = 80,addition_error
94 + 69 = 159,subtraction_error
93 + 4 = 87,subtraction_error
77 + 25 = 104,addition_error
62 + 60 = 122,correct
27 + 17 = 40,subtraction_error
61 + 71 = 127,subtraction_error
19 + 7 = 26,correct
16 + 17 = 40,addition_error
8 + 99 = 107,correct
74 + 58 = 137,addition_error
21 + 6 = 21,subtraction_error
43 + 96 = 131,subtraction_error
53 + 80 = 133,correct
37 + 63 = 109,addition_error
35 + 3 = 38,correct
10 + 92 = 102,correct
25 + 44 = 76,addition_error
6 + 91 = 89,subtraction_error
8 + 41 = 49,correct
24 + 26 = 51,addition_error
16 + 37 = 57,addition_error
5 + 48 = 62,addition_error
98 + 12 = 108,subtraction_error
48 + 99 = 151,addition_error
12 + 69 = 78,subtraction_error
8 + 36 = 44,correct
7 + 40 = 47,correct
85 + 13 = 103,addition_error
2 + 5 = 14,addition_error
82 + 17 = 91,subtraction_error
85 + 57 = 133,subtraction_error
62 + 86 = 138,subtraction_error
34 + 77 = 101,subtraction_error
31 + 54 = 79,subtraction_error
95 + 11 = 104,subtraction_error
53 + 75 = 138,addition_error
3 + 87 = 90,correct
82 + 72 = 163,addition_error
19 + 78 = 92,subtraction_error
10 + 57 = 64,subtraction_error
11 + 61 = 82,addition_error
59 + 63 = 120,subtraction_error
4 + 33 = 36,subtraction_error
37 + 61 = 98,correct
44 + 53 = 97,correct
88 + 75 = 157,subtraction_error
55 + 4 = 59,correct
42 + 9 = 60,addition_error
50 + 50 = 100,correct
29 + 8 = 28,subtraction_error
11 + 59 = 76,addition_error
3 + 75 = 86,addition_error
36 + 70 = 103,subtraction_error
97 + 6 = 103,correct
69 + 9 = 75,subtraction_error
40 + 63 = 103,correct
89 + 30 = 114,subtraction_error
67 + 54 = 128,addition_error
27 + 48 = 75,correct
66 + 89 = 146,subtraction_error
7 + 33 = 47,addition_error
86 + 17 = 93,subtraction_error
29 + 20 = 49,correct
95 + 10 = 95,subtraction_error
83 + 87 = 165,subtraction_error
20 + 27 = 47,correct
95 + 10 = 105,correct
47 + 24 = 66,subtraction_error
94 + 37 = 129,subtraction_error
7 + 12 = 11,subtraction_error
9 + 58 = 67,correct
50 + 52 = 106,addition_error
47 + 26 = 72,subtraction_error
21 + 66 = 87,correct
32 + 19 = 41,subtraction_error
90 + 43 = 133,correct
94 + 51 = 148,addition_error
88 + 6 = 94,correct
15 + 80 = 93,subtraction_error
10 + 94 = 97,subtraction_error
55 + 6 = 60,subtraction_error
91 + 56 = 147,correct
34 + 77 = 111,correct
23 + 37 = 60,correct
91 + 90 = 185,addition_error
78 + 52 = 128,subtraction_error
18 + 74 = 92,correct
8 + 86 = 92,subtraction_error
72 + 33 = 100,subtraction_error
87 + 2 = 91,addition_error
93 + 60 = 162,addition_error
17 + 85 = 102,correct
40 + 61 = 101,correct
58 + 99 = 156,subtraction_error
97 + 25 = 132,addition_error
70 + 72 = 134,subtraction_error
51 + 48 = 108,addition_error
78 + 49 = 119,subtraction_error
37 + 29 = 66,correct
38 + 74 = 112,correct
79 + 64 = 145,addition_error
73 + 43 = 118,addition_error
25 + 10 = 36,addition_error
53 + 37 = 100,addition_error
8 + 88 = 94,subtraction_error
35 + 72 = 113,addition_error
28 + 38 = 62,subtraction_error
62 + 97 = 152,subtraction_error
15 + 15 = 30,correct
28 + 84 = 114,addition_error
67 + 33 = 110,addition_error
84 + 4 = 87,subtraction_error
31 + 13 = 44,correct
83 + 14 = 97,correct
91 + 35 = 123,subtraction_error
5 + 63 = 68,correct
94 + 59 = 151,subtraction_error
27 + 50 = 85,addition_error
63 + 13 = 76,correct
47 + 89 = 132,subtraction_error
29 + 6 = 30,subtraction_error
47 + 83 = 130,correct
73 + 72 = 140,subtraction_error
98 + 12 = 106,subtraction_error
67 + 68 = 135,correct
60 + 66 = 134,addition_error
27 + 42 = 74,addition_error
86 + 36 = 127,addition_error
45 + 59 = 114,addition_error
63 + 5 = 68,correct
51 + 81 = 134,addition_error
90 + 30 = 120,correct
42 + 81 = 115,subtraction_error
93 + 43 = 139,addition_error
76 + 80 = 162,addition_error
13 + 46 = 49,subtraction_error
92 + 77 = 172,addition_error
34 + 25 = 58,subtraction_error
85 + 75 = 157,subtraction_error
30 + 8 = 44,addition_error
45 + 75 = 125,addition_error
36 + 44 = 70,subtraction_error
4 + 98 = 111,addition_error
29 + 30 = 69,addition_error
24 + 45 = 60,subtraction_error
11 + 59 = 69,subtraction_error
81 + 6 = 89,addition_error
38 + 17 = 55,correct
97 + 6 = 100,subtraction_error
15 + 62 = 69,subtraction_error
27 + 17 = 44,correct
27 + 44 = 73,addition_error
34 + 38 = 79,addition_error
67 + 25 = 92,correct
17 + 70 = 87,correct
71 + 54 = 134,addition_error
98 + 29 = 119,subtraction_error
52 + 45 = 97,correct
70 + 79 = 140,subtraction_error
96 + 3 = 99,correct
6 + 28 = 34,correct
13 + 61 = 74,correct
10 + 39 = 55,addition_error
85 + 94 = 179,correct
76 + 78 = 161,addition_error
68 + 97 = 162,subtraction_error
4 + 19 = 14,subtraction_error
50 + 15 = 65,correct
4 + 39 = 38,subtraction_error
85 + 2 = 89,addition_error
29 + 8 = 37,correct
69 + 56 = 127,addition_error
80 + 42 = 122,correct
54 + 50 = 108,addition_error
65 + 70 = 143,addition_error
58 + 81 = 144,addition_error
13 + 13 = 25,subtraction_error
41 + 60 = 97,subtraction_error
29 + 6 = 32,subtraction_error
15 + 15 = 36,addition_error
29 + 10 = 35,subtraction_error
88 + 18 = 102,subtraction_error
17 + 70 = 94,addition_error
22 + 27 = 49,correct
27 + 44 = 61,subtraction_error
42 + 93 = 135,correct
16 + 48 = 64,correct
63 + 73 = 138,addition_error
26 + 46 = 73,addition_error
68 + 11 = 85,addition_error
63 + 86 = 150,addition_error
62 + 40 = 102,correct
38 + 49 = 87,correct
89 + 86 = 175,correct
43 + 27 = 70,correct
75 + 44 = 128,addition_error
5 + 63 = 65,subtraction_error
58 + 1 = 54,subtraction_error
63 + 87 = 150,correct
84 + 2 = 78,subtraction_error
67 + 75 = 142,correct
24 + 45 = 78,addition_error
16 + 16 = 39,addition_error
41 + 79 = 124,addition_error
25 + 10 = 32,subtraction_error
75 + 86 = 161,correct
74 + 58 = 132,correct
34 + 35 = 69,correct
74 + 96 = 176,addition_error
75 + 65 = 150,addition_error
12 + 26 = 46,addition_error
41 + 72 = 113,correct
88 + 23 = 105,subtraction_error
58 + 48 = 109,addition_error
94 + 37 = 131,correct
47 + 60 = 115,addition_error
62 + 37 = 99,correct
2 + 86 = 88,correct
47 + 89 = 138,addition_error
90 + 30 = 113,subtraction_error
80 + 92 = 179,addition_error
25 + 93 = 118,correct
72 + 69 = 135,subtraction_error
94 + 94 = 188,correct
14 + 31 = 45,correct
25 + 34 = 53,subtraction_error
44 + 99 = 145,addition_error
93 + 49 = 139,subtraction_error
79 + 57 = 131,subtraction_error
55 + 30 = 80,subtraction_error
40 + 11 = 41,subtraction_error
28 + 38 = 70,addition_error
76 + 80 = 156,correct
85 + 23 = 116,addition_error
39 + 88 = 124,subtraction_error
5 + 48 = 48,subtraction_error
39 + 83 = 122,correct
69 + 9 = 80,addition_error
3 + 28 = 41,addition_error
71 + 54 = 122,subtraction_error
61 + 71 = 139,addition_error
41 + 38 = 79,correct
94 + 53 = 145,subtraction_error
28 + 84 = 112,correct
58 + 99 = 157,correct
15 + 52 = 74,addition_error
60 + 8 = 71,addition_error
38 + 66 = 104,correct
89 + 3 = 85,subtraction_error
55 + 26 = 75,subtraction_error
65 + 55 = 125,addition_error
99 + 82 = 181,correct
41 + 38 = 74,subtraction_error
33 + 73 = 106,correct
58 + 59 = 117,correct
54 + 22 = 76,correct
13 + 34 = 46,subtraction_error
20 + 32 = 60,addition_error
70 + 99 = 169,correct
60 + 14 = 74,correct
23 + 47 = 74,addition_error
54 + 40 = 98,addition_error
54 + 71 = 125,correct
98 + 47 = 145,correct
4 + 73 = 74,subtraction_error
13 + 46 = 59,correct
20 + 98 = 116,subtraction_error
49 + 4 = 61,addition_error
69 + 75 = 154,addition_error
91 + 27 = 110,subtraction_error
15 + 62 = 77,correct
64 + 52 = 116,correct
76 + 5 = 81,correct
77 + 26 = 102,subtraction_error
37 + 25 = 52,subtraction_error
45 + 83 = 127,subtraction_error
50 + 31 = 78,subtraction_error
45 + 36 = 81,correct
53 + 8 = 51,subtraction_error
65 + 73 = 138,correct
64 + 39 = 103,correct
51 + 54 = 107,addition_error
95 + 44 = 144,addition_error
16 + 35 = 58,addition_error
46 + 38 = 84,correct
68 + 96 = 158,subtraction_error
21 + 93 = 123,addition_error
44 + 48 = 87,subtraction_error
25 + 10 = 30,subtraction_error
33 + 17 = 41,subtraction_error
2 + 56 = 58,correct
47 + 26 = 73,correct
8 + 23 = 31,correct
70 + 45 = 125,addition_error
15 + 54 = 63,subtraction_error
57 + 82 = 134,subtraction_error
98 + 2 = 100,correct
53 + 15 = 77,addition_error
93 + 32 = 127,addition_error
56 + 26 = 82,correct
89 + 11 = 100,correct
67 + 35 = 102,correct
3 + 64 = 67,correct
21 + 88 = 109,correct
4 + 60 = 74,addition_error
80 + 26 = 114,addition_error
90 + 94 = 188,addition_error
48 + 84 = 124,subtraction_error
50 + 18 = 68,correct
71 + 67 = 145,addition_error
4 + 2 = 15,addition_error
85 + 2 = 80,subtraction_error
56 + 21 = 77,correct
64 + 2 = 66,correct
7 + 68 = 75,correct
21 + 32 = 53,correct
21 + 93 = 111,subtraction_error
6 + 8 = 10,subtraction_error
89 + 32 = 122,addition_error
89 + 35 = 115,subtraction_error
67 + 4 = 71,correct
6 + 39 = 46,addition_error
16 + 6 = 29,addition_error
34 + 39 = 73,correct
98 + 12 = 114,addition_error
51 + 91 = 148,addition_error
41 + 99 = 140,correct
63 + 73 = 133,subtraction_error
21 + 57 = 78,correct
55 + 68 = 123,correct
35 + 3 = 42,addition_error
7 + 65 = 64,subtraction_error
27 + 44 = 71,correct
53 + 69 = 126,addition_error
55 + 32 = 85,subtraction_error
37 + 83 = 114,subtraction_error
14 + 86 = 100,correct
62 + 58 = 116,subtraction_error
46 + 80 = 133,addition_error
45 + 83 = 124,subtraction_error
47 + 89 = 134,subtraction_error
59 + 34 = 93,correct
44 + 1 = 36,subtraction_error
74 + 98 = 167,subtraction_error
34 + 14 = 48,correct
54 + 35 = 94,addition_error
29 + 54 = 83,correct
8 + 50 = 55,subtraction_error
46 + 52 = 98,correct
49 + 91 = 135,subtraction_error
64 + 5 = 61,subtraction_error
21 + 34 = 55,correct
63 + 86 = 149,correct
88 + 64 = 161,addition_error
91 + 86 = 177,correct
36 + 62 = 104,addition_error
13 + 30 = 43,correct
81 + 59 = 130,subtraction_error
64 + 46 = 110,correct
91 + 2 = 90,subtraction_error
95 + 11 = 116,addition_error
90 + 38 = 120,subtraction_error
86 + 63 = 149,correct
65 + 38 = 103,correct
10 + 51 = 62,addition_error
3 + 41 = 44,correct
69 + 11 = 78,subtraction_error
16 + 6 = 16,subtraction_error
3 + 56 = 49,subtraction_error
30 + 70 = 100,correct
50 + 54 = 111,addition_error
50 + 3 = 53,correct
98 + 58 = 156,correct
9 + 30 = 32,subtraction_error
63 + 81 = 137,subtraction_error
69 + 32 = 92,subtraction_error
35 + 72 = 99,subtraction_error
90 + 38 = 129,addition_error
59 + 89 = 140,subtraction_error
38 + 90 = 125,subtraction_error
15 + 10 = 34,addition_error
49 + 60 = 109,correct
11 + 3 = 15,addition_error
85 + 45 = 133,addition_error
90 + 11 = 101,correct
98 + 63 = 169,addition_error
6 + 39 = 38,subtraction_error
66 + 39 = 111,addition_error
79 + 29 = 101,subtraction_error
7 + 33 = 35,subtraction_error
7 + 44 = 46,subtraction_error
90 + 13 = 103,correct
36 + 47 = 83,correct
16 + 72 = 79,subtraction_error
49 + 3 = 60,addition_error
15 + 99 = 114,correct
70 + 3 = 64,subtraction_error
16 + 17 = 33,correct
67 + 54 = 121,correct
78 + 9 = 87,correct
70 + 28 = 99,addition_error
48 + 43 = 83,subtraction_error
48 + 51 = 94,subtraction_error
29 + 6 = 35,correct
65 + 73 = 130,subtraction_error
98 + 2 = 97,subtraction_error
89 + 34 = 124,addition_error
41 + 52 = 98,addition_error
26 + 46 = 72,correct
32 + 60 = 92,correct
42 + 9 = 51,correct
94 + 40 = 132,subtraction_error
46 + 68 = 107,subtraction_error
47 + 60 = 107,correct
13 + 2 = 14,subtraction_error
42 + 69 = 111,correct
82 + 17 = 104,addition_error
68 + 49 = 125,addition_error
75 + 54 = 133,addition_error
67 + 33 = 100,correct
56 + 57 = 106,subtraction_error
43 + 96 = 139,correct
18 + 74 = 97,addition_error
67 + 75 = 147,addition_error
7 + 60 = 64,subtraction_error
44 + 48 = 99,addition_error
86 + 17 = 103,correct
87 + 53 = 136,subtraction_error
29 + 57 = 85,subtraction_error
8 + 26 = 25,subtraction_error
38 + 45 = 83,correct
89 + 98 = 188,addition_error
62 + 86 = 148,correct
48 + 29 = 75,subtraction_error
48 + 2 = 52,addition_error
91 + 96 = 179,subtraction_error
85 + 9 = 89,subtraction_error
13 + 2 = 19,addition_error
37 + 40 = 70,subtraction_error
96 + 63 = 159,correct
58 + 1 = 59,correct
18 + 79 = 97,correct
65 + 70 = 135,correct
91 + 35 = 126,correct
10 + 98 = 104,subtraction_error
45 + 7 = 52,correct
81 + 31 = 109,subtraction_error
63 + 97 = 158,subtraction_error
17 + 71 = 78,subtraction_error
7 + 12 = 23,addition_error
43 + 35 = 79,addition_error
33 + 96 = 129,correct
78 + 9 = 92,addition_error
61 + 79 = 140,correct
94 + 59 = 163,addition_error
35 + 95 = 130,correct
21 + 53 = 73,subtraction_error
73 + 9 = 80,subtraction_error
30 + 10 = 40,correct
51 + 38 = 98,addition_error
33 + 69 = 104,addition_error
95 + 13 = 118,addition_error
34 + 30 = 64,correct
60 + 54 = 110,subtraction_error
12 + 75 = 97,addition_error
8 + 41 = 56,addition_error
56 + 58 = 114,correct
53 + 37 = 98,addition_error
9 + 47 = 46,subtraction_error
26 + 62 = 78,subtraction_error
16 + 17 = 30,subtraction_error
64 + 34 = 102,addition_error
8 + 41 = 44,subtraction_error
31 + 17 = 40,subtraction_error
77 + 25 = 102,correct
50 + 29 = 70,subtraction_error
87 + 70 = 165,addition_error
67 + 95 = 162,correct
93 + 65 = 158,correct
68 + 86 = 154,correct
13 + 38 = 59,addition_error
41 + 75 = 121,addition_error
85 + 2 = 87,correct
20 + 98 = 125,addition_error
70 + 99 = 172,addition_error
38 + 93 = 127,subtraction_error
9 + 8 = 7,subtraction_error
41 + 99 = 149,addition_error
41 + 60 = 109,addition_error
66 + 28 = 87,subtraction_error
70 + 72 = 142,correct
63 + 97 = 160,correct
83 + 22 = 106,addition_error
75 + 65 = 140,correct
44 + 12 = 54,subtraction_error
23 + 77 = 97,subtraction_error
40 + 46 = 88,addition_error
64 + 5 = 69,correct
73 + 41 = 117,addition_error
48 + 12 = 60,correct
11 + 93 = 106,addition_error
74 + 15 = 89,correct
28 + 33 = 63,addition_error
81 + 19 = 106,addition_error
11 + 61 = 72,correct
84 + 44 = 137,addition_error
16 + 93 = 109,correct
26 + 10 = 36,correct
23 + 69 = 83,subtraction_error
77 + 75 = 142,subtraction_error
62 + 37 = 97,subtraction_error
19 + 71 = 90,correct
84 + 4 = 90,addition_error
31 + 98 = 127,subtraction_error
64 + 74 = 148,addition_error
59 + 20 = 81,addition_error
68 + 86 = 149,subtraction_error
17 + 82 = 99,correct
86 + 58 = 151,addition_error
29 + 6 = 35,correct
93 + 43 = 133,subtraction_error
68 + 96 = 164,correct
59 + 69 = 128,correct
31 + 13 = 53,addition_error
74 + 20 = 84,subtraction_error
2 + 15 = 21,addition_error
1 + 96 = 97,correct
78 + 42 = 128,addition_error
8 + 94 = 107,addition_error
90 + 94 = 174,subtraction_error
77 + 75 = 155,addition_error
41 + 34 = 82,addition_error
94 + 20 = 114,correct
97 + 6 = 112,addition_error
95 + 13 = 108,correct
63 + 23 = 86,correct
16 + 16 = 30,subtraction_error
5 + 43 = 40,subtraction_error
40 + 96 = 127,subtraction_error
66 + 68 = 130,subtraction_error
88 + 23 = 116,addition_error
11 + 59 = 70,correct
17 + 85 = 93,subtraction_error
65 + 79 = 148,addition_error
18 + 95 = 119,addition_error
20 + 39 = 56,subtraction_error
34 + 22 = 65,addition_error
32 + 60 = 87,subtraction_error
29 + 78 = 106,subtraction_error
50 + 10 = 69,addition_error
49 + 78 = 136,addition_error
25 + 62 = 95,addition_error
42 + 86 = 132,addition_error
41 + 99 = 132,subtraction_error
70 + 28 = 98,correct
45 + 22 = 65,subtraction_error
20 + 27 = 40,subtraction_error
28 + 71 = 94,subtraction_error
94 + 44 = 140,addition_error
30 + 8 = 36,subtraction_error
57 + 76 = 139,addition_error
71 + 73 = 135,subtraction_error
12 + 58 = 71,addition_error
49 + 60 = 108,subtraction_error
9 + 47 = 56,correct
68 + 57 = 118,subtraction_error
23 + 37 = 62,addition_error
25 + 62 = 87,correct
73 + 72 = 147,addition_error
54 + 68 = 119,subtraction_error
53 + 8 = 68,addition_error
51 + 42 = 93,correct
51 + 83 = 130,subtraction_error
32 + 84 = 117,addition_error
83 + 22 = 105,correct
45 + 61 = 107,addition_error
65 + 79 = 143,subtraction_error
21 + 93 = 119,addition_error
95 + 72 = 167,correct
27 + 89 = 123,addition_error
41 + 45 = 86,correct
14 + 61 = 76,addition_error
19 + 71 = 92,addition_error
21 + 21 = 48,addition_error
36 + 91 = 134,addition_error
55 + 30 = 92,addition_error
27 + 89 = 116,correct
38 + 49 = 93,addition_error
15 + 52 = 62,subtraction_error
80 + 23 = 103,correct
82 + 72 = 154,correct
58 + 99 = 161,addition_error
75 + 93 = 168,correct
8 + 8 = 24,addition_error
41 + 17 = 58,correct
51 + 53 = 104,correct
91 + 2 = 93,correct
12 + 80 = 91,subtraction_error
67 + 10 = 72,subtraction_error
30 + 70 = 108,addition_error
55 + 68 = 133,addition_error
34 + 25 = 61,addition_error
56 + 58 = 119,addition_error
59 + 7 = 66,correct
63 + 74 = 132,subtraction_error
34 + 17 = 51,correct
13 + 34 = 53,addition_error
16 + 19 = 29,subtraction_error
51 + 55 = 110,addition_error
21 + 53 = 74,correct
5 + 31 = 38,addition_error
1 + 36 = 29,subtraction_error
78 + 42 = 120,correct
58 + 54 = 114,addition_error
79 + 57 = 145,addition_error
26 + 45 = 71,correct
88 + 50 = 138,correct
84 + 7 = 97,addition_error
74 + 69 = 139,subtraction_error
30 + 68 = 97,subtraction_error
41 + 75 = 110,subtraction_error
73 + 43 = 116,correct
12 + 75 = 87,correct
36 + 3 = 47,addition_error
6 + 39 = 45,correct
54 + 94 = 148,correct
91 + 62 = 162,addition_error
23 + 37 = 55,subtraction_error
2 + 15 = 17,correct
93 + 95 = 187,subtraction_error
32 + 19 = 51,correct
38 + 93 = 132,addition_error
51 + 12 = 63,correct
12 + 97 = 108,subtraction_error
29 + 20 = 44,subtraction_error
6 + 2 = 8,correct
45 + 61 = 106,correct
43 + 89 = 142,addition_error
59 + 19 = 78,correct
10 + 92 = 102,correct
62 + 13 = 75,correct
91 + 86 = 174,subtraction_error
42 + 81 = 123,correct
58 + 48 = 99,subtraction_error
15 + 26 = 31,subtraction_error
48 + 29 = 78,addition_error
63 + 86 = 140,subtraction_error
16 + 2 = 24,addition_error
60 + 54 = 114,correct
41 + 81 = 122,correct
26 + 64 = 87,subtraction_error
33 + 96 = 138,addition_error
59 + 7 = 57,subtraction_error
40 + 96 = 144,addition_error
68 + 29 = 98,addition_error
41 + 75 = 109,subtraction_error
93 + 65 = 151,subtraction_error
69 + 33 = 102,correct
28 + 43 = 80,addition_error
1 + 36 = 37,correct
29 + 6 = 44,addition_error
75 + 80 = 152,subtraction_error
83 + 46 = 129,correct
53 + 80 = 138,addition_error
74 + 96 = 170,correct
86 + 81 = 166,subtraction_error
85 + 9 = 98,addition_error
29 + 54 = 86,addition_error
37 + 4 = 31,subtraction_error
87 + 36 = 123,correct
80 + 63 = 137,subtraction_error
93 + 40 = 138,addition_error
21 + 6 = 27,correct
94 + 51 = 145,correct
74 + 69 = 143,correct
7 + 74 = 81,correct
69 + 37 = 106,correct
75 + 43 = 118,correct
99 + 33 = 132,correct
71 + 7 = 79,addition_error
70 + 72 = 152,addition_error
35 + 3 = 37,subtraction_error
17 + 91 = 107,subtraction_error
78 + 36 = 114,correct
89 + 96 = 181,subtraction_error
19 + 78 = 107,addition_error
30 + 84 = 124,addition_error
88 + 23 = 111,correct
21 + 69 = 97,addition_error
50 + 52 = 92,subtraction_error
82 + 6 = 80,subtraction_error
73 + 43 = 109,subtraction_error
66 + 31 = 97,correct
71 + 13 = 85,addition_error
94 + 20 = 110,subtraction_error
26 + 62 = 88,correct
85 + 23 = 100,subtraction_error
93 + 54 = 147,correct
71 + 54 = 125,correct
55 + 26 = 81,correct
78 + 8 = 91,addition_error
12 + 80 = 92,correct
74 + 30 = 103,subtraction_error
89 + 9 = 98,correct
44 + 68 = 104,subtraction_error
50 + 50 = 110,addition_error
89 + 30 = 126,addition_error
62 + 37 = 92,subtraction_error
10 + 98 = 115,addition_error
86 + 30 = 116,correct
80 + 26 = 106,correct
64 + 5 = 76,addition_error
36 + 91 = 127,correct
81 + 19 = 97,subtraction_error
32 + 69 = 110,addition_error
63 + 52 = 115,correct
53 + 36 = 85,subtraction_error
50 + 10 = 51,subtraction_error
56 + 29 = 85,correct
63 + 87 = 158,addition_error
30 + 10 = 38,subtraction_error
64 + 2 = 62,subtraction_error
37 + 29 = 68,addition_error
69 + 92 = 153,subtraction_error
15 + 10 = 25,correct
41 + 75 = 125,addition_error
9 + 15 = 24,correct
64 + 55 = 109,subtraction_error
69 + 33 = 95,subtraction_error
17 + 34 = 51,correct
38 + 63 = 111,addition_error
72 + 36 = 111,addition_error
62 + 37 = 106,addition_error
46 + 22 = 60,subtraction_error
32 + 91 = 126,addition_error
16 + 2 = 8,subtraction_error
66 + 83 = 146,subtraction_error
62 + 97 = 159,correct
31 + 86 = 117,correct
26 + 76 = 102,correct
70 + 72 = 146,addition_error
91 + 56 = 143,subtraction_error
89 + 55 = 135,subtraction_error
48 + 57 = 99,subtraction_error
13 + 18 = 28,subtraction_error
1 + 49 = 50,correct
84 + 52 = 136,correct
36 + 39 = 83,addition_error
93 + 80 = 173,correct
76 + 83 = 159,correct
33 + 73 = 110,addition_error
8 + 50 = 66,addition_error
68 + 97 = 165,correct
14 + 81 = 102,addition_error
32 + 60 = 101,addition_error
81 + 59 = 140,correct
68 + 83 = 151,correct
1 + 20 = 21,correct
98 + 12 = 110,correct
29 + 72 = 102,addition_error
18 + 96 = 114,correct
57 + 76 = 126,subtraction_error
94 + 52 = 144,subtraction_error
27 + 50 = 77,correct
45 + 93 = 138,correct
9 + 91 = 100,correct
12 + 69 = 82,addition_error
71 + 89 = 165,addition_error
65 + 26 = 88,subtraction_error
90 + 13 = 98,subtraction_error
